Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-June-2020,1540.00,1589.00,1540.00,1579.95,1568.842671776991718234,710718,28904,1115004726.00,160643,22.60,49.00,39.95
3-June-2020,1545.00,1559.00,1533.25,1542.45,1543.623706493179282294,444528,20818,686183959.00,126626,28.49,25.75,-2.55
2-June-2020,1521.00,1540.00,1521.00,1536.10,1532.295477242862262573,418550,22789,641342272.00,112699,26.93,19.00,15.10
1-June-2020,1480.00,1539.20,1475.65,1520.45,1515.905038353790982901,1016979,35937,1541643590.00,246355,24.22,63.55,40.45
29-May-2020,1470.70,1471.50,1453.00,1465.20,1461.243705950121984277,590240,20172,862484485.00,251562,42.62,18.50,-5.50
28-May-2020,1455.00,1479.20,1450.55,1472.65,1467.164314860083477838,641847,26500,941695014.00,166443,25.93,28.65,17.65
27-May-2020,1434.00,1454.10,1412.20,1446.95,1431.542519676256069401,627533,26036,898340172.00,174486,27.80,41.90,12.95
26-May-2020,1439.40,1449.00,1416.30,1423.70,1428.983533914631518536,468721,19817,669794591.00,135697,28.95,32.70,-15.70
22-May-2020,1454.80,1458.50,1426.80,1431.60,1441.699194191550404457,579294,23822,835167693.00,108878,18.79,31.70,-23.20
21-May-2020,1438.00,1460.85,1425.35,1440.05,1444.263011722853211124,558823,22685,807087389.00,84382,15.10,35.50,2.05
20-May-2020,1407.30,1445.85,1393.65,1434.65,1426.607356543653730922,907872,31809,1295176874.00,110171,12.14,52.20,27.35
19-May-2020,1461.90,1461.90,1404.00,1408.15,1436.568990739638964911,714335,29316,1026191510.00,139032,19.46,57.90,-53.75
18-May-2020,1471.80,1482.00,1428.00,1440.65,1452.458142427594706193,1308019,44307,1899842847.00,158182,12.09,54.00,-31.15
15-May-2020,1445.70,1467.00,1415.55,1458.90,1441.761956878395902325,953907,37182,1375306823.00,139312,14.60,51.45,13.20
14-May-2020,1472.00,1496.40,1430.05,1435.45,1456.997866713570490794,795955,36568,1159704737.00,130235,16.36,66.35,-36.55
13-May-2020,1534.75,1534.75,1454.00,1496.40,1479.473717353548739658,1489557,51128,2203760432.00,138373,9.29,80.75,-38.35
12-May-2020,1578.00,1578.00,1455.00,1480.25,1539.201219829239260802,2865647,58351,4410807358.00,1600772,55.86,123.00,-97.75
11-May-2020,1582.00,1614.85,1572.00,1576.75,1592.811649259952867301,1066351,37832,1698496295.00,236991,22.22,42.85,-5.25
8-May-2020,1550.00,1579.70,1537.60,1561.80,1560.210696847034905882,1432366,48435,2234792755.00,292323,20.41,42.10,11.80
7-May-2020,1450.00,1513.70,1444.90,1507.25,1484.252368618190947376,991823,37440,1472115637.00,215787,21.76,68.80,57.25
6-May-2020,1462.00,1484.00,1446.00,1461.65,1465.976029258128505664,690133,29037,1011718435.00,101372,14.69,38.00,-0.35
5-May-2020,1451.05,1478.80,1447.00,1461.00,1463.572987998050444742,656560,27479,960923481.00,118929,18.11,31.80,9.95
4-May-2020,1442.00,1464.90,1419.75,1435.40,1443.430778959541587790,978857,36490,1412912322.00,234783,23.99,45.15,-6.60
30-April-2020,1454.00,1494.50,1440.00,1467.05,1469.701517546806229920,1277127,47637,1876995490.00,199937,15.66,54.50,13.05
29-April-2020,1446.00,1453.05,1420.50,1426.20,1436.199798745503268441,642967,25581,923429076.00,119218,18.54,32.55,-19.80
28-April-2020,1451.40,1454.75,1391.95,1428.10,1421.149886903902122703,1301548,49487,1849694793.00,159436,12.25,62.80,-23.30
27-April-2020,1440.00,1474.55,1422.95,1430.30,1449.141426671651773515,1152767,42860,1670522415.00,204866,17.77,51.60,-9.70
24-April-2020,1354.90,1495.00,1348.00,1417.35,1426.941202283134072953,2452068,84839,3498956860.00,298577,12.18,147.00,62.45
23-April-2020,1369.70,1385.85,1354.25,1371.50,1370.967367201901703028,1465213,36634,2008759209.00,169508,11.57,31.60,1.80
22-April-2020,1320.00,1384.70,1300.00,1363.35,1341.800019775246715217,2629550,88016,3528330242.00,430128,16.36,84.70,43.35
21-April-2020,1208.10,1252.55,1164.45,1236.05,1202.750345824264616795,1147259,46201,1379866159.00,160413,13.98,88.10,27.95
20-April-2020,1226.50,1257.00,1202.30,1244.45,1228.703573253774223400,796389,22491,978526010.00,87130,10.94,54.70,17.95
17-April-2020,1220.00,1229.90,1192.70,1225.05,1209.045865113335264270,559314,25002,676236279.00,179303,32.06,37.20,5.05
16-April-2020,1146.60,1187.35,1146.60,1168.70,1173.745875445897740784,592064,30132,694932678.00,104523,17.65,40.75,22.10
15-April-2020,1201.00,1235.95,1142.70,1150.05,1181.958679142365627491,834155,32228,985936742.00,243999,29.25,93.25,-50.95
13-April-2020,1208.00,1215.00,1180.00,1189.25,1192.002910842552122694,445919,20095,531536746.00,92980,20.85,35.00,-18.75
